STATION_ID,STATION_NM,AREA,GU,DONG,ADDR1,ADDR2,LOCKER,Y_POS,X_POS
1,첫마을 1단지,1생활권,세종,한솔동,세종특별자치시 한솔동 168-38,,13,36.482114,127.259628
2,첫마을 3단지,1생활권,세종,한솔동,세종특별자치시 한솔동 168-66,,15,36.47985,127.260513
3,첫마을  4단지,1생활권,세종,한솔동,세종특별자치시 한솔동 산 2,,15,36.480436,127.253314
4,LH세종특별본부,2생활권,세종,어진동, 세종특별자치시 어진동 178-286 ,,15,36.495484,127.266063
5,한솔동 주민센터,1생활권,세종,한솔동,세종특별자치시 한솔동 산 6,,14,36.4789789,127.2555235
6,한솔중학교,1생활권,세종,한솔동,세종특별자치시 한솔동 산16,,12,36.474876,127.255207
7,첫마을 5단지,1생활권,세종,한솔동,세종특별자치시 한솔동 316-6|,,15,36.477852,127.249886
8,첫마을 6단지,1생활권,세종,한솔동,세종특별자치시 한솔동 203-6,,15,36.475618,127.252225
9,첫마을 7단지,1생활권,세종,한솔동,세종특별자치시 한솔동 102,,15,36.474186,127.255057
10,세종보 홍보관,2생활권,연기,세종리,세종특별자치시 연기면 세종리 551-174,,15,36.476774,127.25951
11,첫마을 (BRT정류장),1생활권,세종,나성동,세종특별자치시 나성동 531-1,,15,36.481001,127.261527
12,도담동 주민센터,2생활권,세종,도담동,세종특별자치시 도담동 260-400  ,,13,36.515895,127.262853
13,도시통합정보센터,2생활권,세종,다정동,세종특별자치시 다정동 363-82 ,,10,36.493845,127.256103
14,종합민원실 (BRT정류장),2생활권,세종,어진동,세종특별자치시 어진동 68-2,,15,36.504611,127.261738
15,고용노동부 (BRT정류장),2생활권,세종,어진동,세종특별자치시 어진동 101-1,,15,36.501559,127.260176
16,성남중학교,2생활권,세종,어진동,세종특별자치시 어진동 97-10 ,,15,36.497462,127.255843
17,문화체육관광부,2생활권,세종,어진동,세종특별자치시 어진동 산 52,,10,36.498175,127.26442
18,국무조정실 (대통령 기록관),2생활권,세종,어진동,세종특별자치시 어진동 34-72 ,,10,36.502481,127.272106
19,호수공원 (정부세종컨벤션센터),2생활권,세종,어진동,세종특별자치시 어진동 183-38,,15,36.499384,127.269759
20,호수공원 (제1주차장),2생활권,연기,세종리,세종특별자치시 연기면 세종리 548-105 ,,15,36.492559,127.269245
21,한솔유치원,1생활권,세종,한솔동,세종특별자치시 한솔동 32,,15,36.477965,127.25215
22,범지기마을 10단지,1생활권,세종,아름동,세종특별자치시 아름동 산 73,,12,36.516017,127.25105
23,아름동 주민센터,1생활권,세종,아름동,세종특별자치시 아름동 95-2,,12,36.511962,127.247877
24,가재마을 9단지,1생활권,세종,종촌동,세종특별자치시 종촌동 97-14,,12,36.501754,127.250707
25,가재마을 11단지,1생활권,세종,종촌동,세종특별자치시 종촌동 151-87,,12,36.504826,127.250465
26,도램마을 (BRT 정류장),1생활권,세종,도담동,세종특별자치시 도담동 257,,12,36.514855,127.258498
27,한뜰마을 2단지 (세종1번가),1생활권,세종,어진동,세종특별자치시 어진동 3-166,,12,36.504509,127.270131
28,국책연구단지,2생활권,세종,반곡동,세종특별자치시 시청대로 370(반곡동),,12,36.496194,127.303916
29,공정거래위원회(해양수산부),2생활권,세종,어진동,세종특별자치시 어진동 17-3,,20,36.504866,127.267261
30,세종시청,3생활권,세종,보람동,세종특별자치시 보람동 664-10,,30,36.478848,127.288719
31,국세청,2생활권,세종,나성동,세종특별자치시 나성동 471-1,,12,36.484645,127.259567
32,한국개발연구원 (KDI),3생활권,세종,반곡동,세종특별자치시 반곡동 203-36,,12,36.482502,127.310611
33,시외버스터미널,3생활권,세종,대평동,세종특별자치시 대평동 269-12,,20,36.469003,127.274106
34,가락마을 21단지,1생활권,세종,고운동,세종특별자치시 마음안로 221 (고운동1390),,15,36.517472,127.240872
35,가락마을 13단지,1생활권,세종,고운동,세종특별자치시 마음로 182 (고운동1401),,15,36.514074,127.229691
36,가락마을 8단지,1생활권,세종,고운동,세종특별자치시 만남로 92 (고운동1706),,15,36.50699,127.239403
37,가락마을 6단지,1생활권,세종,고운동,세종특별자치시 고운동 1728,,15,36.504237,127.237826
38,범지기마을 3단지,1생활권,세종,아름동,세종특별자치시 달빛1로 201 (아름동1297),,15,36.516182,127.245477
39,범지기마을 4단지,1생활권,세종,아름동,세종특별자치시 아름동1376,,15,36.509161,127.24998
40,가재마을 4단지,1생활권,세종,중촌동,세종특별자치시 도움3로 160 (종촌동640),,15,36.505489,127.245045
41,종촌종합복지센터,1생활권,세종,중촌동,세종특별자치시 도움1로 116 (종촌동674),,15,36.502145,127.246821
42,도램마을 14단지,1생활권,세종,도담동,세종특별자치시 보듬2로 42 (도담동858),,15,36.511224,127.26509
43,도램마을 1단지,1생활권,세종,도담동,세종특별자치시 다솜1로 140 (도담동845),,15,36.508096,127.25776
44,가락마을 15단지,1생활권,세종,고운동,세종특별자치시 마음안로 190 (고운동 1393),,15,36.517332,127.237483
45,가락마을 11단지,1생활권,세종,고운동,"세종특별자치시 마음로 152 (고운동 1409)",,15,36.510545,127.229927
46,가락마을 4단지,1생활권,세종,고운동,"세종특별자치시 마음안로 48 (고운동 1703)",,15,36.506684,127.237095
47,범지기마을 11단지,1생활권,세종,아름동,"세종특별자치시 보듬3로 73 (아름동 1363)",,15,36.511452,127.252059
48,범지기마을 1단지,1생활권,세종,아름동,"세종특별자치시 절재로 13 (아름동 1339)",,15,36.508934,127.242006
49,가재마을 7단지,1생활권,세종,종촌동,"세종특별자치시 달빛로 77 (종촌동 649)",,12,36.506402,127.249654
50,도램마을 10단지,1생활권,세종,도담동,"세종특별자치시 보듬4로 20 (도담동 853)",,15,36.512775,127.261354
51,도램마을 2단지,1생활권,세종,도담동,"세종특별자치시 다솜1로 164 (도담동 685)",,15,36.511969,127.255813
52,인사혁신처,2생활권,세종,어진동,세종특별자치시 한누리대로 499 (어진동 530) ,,18,36.507983,127.261488
53,행복도시 세종홍보관,2생활권,세종,세종리,세종특별자치시 연기면 세종리 551-6,,15,36.48985,127.270374
54,고운동 주민센터,1생활권,세종,고운동,세종특별자치시 마음로 284 (고운동 1382),,12,36.520034,127.236768
55,고운동(만남로 15),1생활권,세종,고운동,세종특별자치시 만남로 15 (고운동 1814),,12,36.501321,127.23607
56,종촌동 주민센터,1생활권,세종,중촌동,세종특별자치시 도움3로 125 (종촌동 677),,15,36.504978,127.24696
57,도램마을 16단지,1생활권,세종,도담동,세종특별자치시 보듬4로 55 (도담동 641),,15,36.51422,127.266275
58,한국조세재정연구원,4생활권,세종,반곡동,세종특별자치시 시청대로 336 (반곡동 771-110),,18,36.492629,127.300585
59,새샘마을 9단지 ,3생활권,세종,소담동,세종특별자치시 국책연구원1로15(소담동325) 908동 앞,,15,36.489062,127.299128
60,새샘마을 3단지(BRT 정류장),3생활권,세종,소담동,세종특별자치시 소담동 32-123 308동 앞,,20,36.4827,127.2975
61,새샘마을 5단지,3생활권,세종,소담동,세종특별자치시 소담동 32-41 506동 앞,,12,36.481707,127.3057
62,호려울마을 9단지,3생활권,세종,보람동,세종특별자치시 보람동 634-8 902동 앞,,12,36.479538,127.295668
63,호려울마을 4단지,3생활권,세종,보람동,세종특별자치시 보람동 700-77 401동 앞,,12,36.476322,127.288507
64,자이아파트,조치원읍,세종,죽림리,세종특별자치시 조치원읍 죽림리 376-1 119동 앞    ,,12,36.591192,127.291513
65,신흥주공아파트,조치원읍,세종,신흥리,세종특별자치시 조치원읍 이화로 5(신흥리393) 201동앞,,15,36.5945,127.288621
66,세종시청(조치원청사),조치원읍,세종,신흥리,세종특별자치시 조치원읍 군청로 87-16(신흥리123),,12,36.5926,127.2935
67,전통시장(주차타워),조치원읍,세종,정리,세종특별자치시 조치원읍 새내로 89(정리 102-9),,10,36.60026,127.297745
68,홈플러스 조치원점,조치원읍,세종,원리,세종특별자치시 조치원읍 번암리 53-2     ,,15,36.5868,127.2974
69,조치원역(서측),조치원읍,세종,침산리,세종특별자치시 조치원읍 충현로157(침산리 131-2),,28,36.602542,127.29476
70,공영버스터미널(조치원),조치원읍,세종,상리,세종특별자치시 조치원읍 조치원로52-1(상리 151-1),,10,36.602002,127.302521
71,고려대학교(세종캠퍼스),조치원읍,세종,서창리,세종특별자치시 조치원읍 서창리 54-8 테니스장 앞,,20,36.6099,127.29325
72,홍익대학교(세종캠퍼스),조치원읍,세종,신안리,세종특별자치시 조치원읍 신안리 314-1 ,,20,36.620912,127.290678